               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11579,            0.024869,            0.029214,            0.072698,            0.039466,           0.0071385,           0.0017553,             0.10326,            0.020827,            0.028962,              0.0024,              0.0024,              0.0784
                   1,            0.083566,            0.021894,             0.02445,            0.094754,             0.14925,            0.060355,            0.015557,            0.075421,            0.019935,            0.022301,            0.004803,            0.004803,            0.055803
                   2,            0.076766,            0.019416,            0.018382,              0.1196,             0.12651,            0.078251,            0.014791,            0.071028,            0.016371,            0.011372,            0.007107,            0.007107,            0.033107
                   3,            0.074664,            0.018157,            0.012307,            0.098824,             0.57854,            0.088932,              0.0375,            0.080688,            0.013715,           0.0073355,           0.0093119,           0.0093119,            0.010312
                   4,            0.067456,            0.017492,           0.0090462,             0.42809,             0.63152,             0.54222,             0.18233,            0.076481,            0.011924,           0.0037538,            0.009208,            0.009208,            0.009208
                   5,            0.063205,            0.015452,           0.0069716,             0.57624,              0.7079,             0.59413,             0.20365,            0.068123,            0.011735,           0.0072899,            0.009208,            0.009208,            0.009208
                   6,            0.053927,            0.014533,           0.0066598,             0.49264,             0.83341,             0.58158,             0.28512,            0.074765,             0.01062,            0.002475,             0.00901,             0.00901,             0.00901
                   7,            0.050966,            0.014067,           0.0050242,             0.61492,             0.77169,             0.63017,             0.22465,            0.058788,            0.010687,            0.002518,            0.008812,            0.008812,            0.008812
                   8,             0.05046,            0.011658,           0.0033008,             0.71154,             0.83121,             0.75745,             0.22434,            0.063854,           0.0086713,            0.001841,            0.008614,            0.008614,            0.008614
                   9,            0.046723,            0.010875,           0.0030604,             0.71129,             0.91514,             0.81017,             0.50976,            0.044612,           0.0086053,           0.0019806,            0.008416,            0.008416,            0.008416
                  10,            0.045155,           0.0093886,           0.0026776,             0.94251,             0.91983,             0.94932,             0.52991,             0.03821,           0.0082327,           0.0018613,            0.008218,            0.008218,            0.008218
                  11,            0.039511,           0.0090255,           0.0024583,             0.96628,             0.94902,             0.96954,              0.6275,            0.033993,           0.0075934,            0.001624,             0.00802,             0.00802,             0.00802
                  12,            0.039442,           0.0088188,           0.0022749,              0.9466,             0.95212,             0.97422,             0.58086,            0.033236,           0.0071207,           0.0021297,            0.007822,            0.007822,            0.007822
                  13,            0.034416,           0.0082988,           0.0022913,             0.89005,             0.95983,             0.92874,             0.59433,            0.035515,           0.0066089,           0.0019862,            0.007624,            0.007624,            0.007624
                  14,            0.033891,           0.0078828,           0.0018867,             0.96813,              0.9372,             0.97712,             0.72005,            0.027742,            0.006584,           0.0017517,            0.007426,            0.007426,            0.007426
                  15,            0.034307,           0.0069156,           0.0020839,             0.96884,             0.95789,             0.98118,             0.71708,            0.023662,            0.006486,           0.0017663,            0.007228,            0.007228,            0.007228
                  16,            0.033271,             0.00729,           0.0020185,             0.95752,             0.95239,             0.97435,             0.45413,            0.044706,           0.0058666,           0.0016264,             0.00703,             0.00703,             0.00703
                  17,            0.034931,           0.0068685,           0.0015073,             0.96312,             0.95856,             0.97792,              0.7656,            0.022381,           0.0061238,           0.0015887,            0.006832,            0.006832,            0.006832
                  18,            0.028493,           0.0068256,           0.0015713,             0.96527,             0.95856,             0.97742,             0.83041,            0.022064,           0.0057757,           0.0015535,            0.006634,            0.006634,            0.006634
                  19,            0.026857,           0.0067389,           0.0017945,             0.95077,             0.98161,             0.98484,             0.78474,            0.024777,           0.0055214,           0.0017861,            0.006436,            0.006436,            0.006436
                  20,            0.026905,           0.0064527,           0.0017118,             0.96727,             0.94818,             0.98551,             0.77512,             0.02415,            0.005488,           0.0015464,            0.006238,            0.006238,            0.006238
                  21,            0.026214,           0.0064224,            0.001422,             0.98192,             0.96324,             0.98751,             0.81044,             0.02462,           0.0054062,            0.001381,             0.00604,             0.00604,             0.00604
                  22,            0.026115,           0.0061539,           0.0013576,             0.98165,             0.97005,             0.98692,             0.83896,            0.024791,            0.005172,           0.0013006,            0.005842,            0.005842,            0.005842
                  23,            0.026444,           0.0059406,           0.0014375,             0.97106,             0.97711,              0.9888,             0.73639,            0.026034,           0.0051349,            0.001303,            0.005644,            0.005644,            0.005644
                  24,            0.027622,           0.0062407,           0.0013775,             0.97565,             0.97778,             0.98827,             0.75378,            0.023203,           0.0050965,           0.0013813,            0.005446,            0.005446,            0.005446
                  25,            0.024759,           0.0059523,           0.0013212,             0.96967,             0.97727,              0.9891,             0.79273,            0.024542,            0.004951,            0.001424,            0.005248,            0.005248,            0.005248
                  26,            0.024474,           0.0059409,           0.0015532,             0.97111,             0.97428,              0.9879,             0.73331,            0.018374,           0.0049041,           0.0015219,             0.00505,             0.00505,             0.00505
                  27,            0.023761,           0.0055415,           0.0013838,             0.97081,             0.97143,             0.99147,             0.76562,            0.023855,           0.0048338,           0.0012156,            0.004852,            0.004852,            0.004852
                  28,            0.027254,           0.0057766,           0.0010583,             0.97782,             0.96788,             0.99279,             0.81903,            0.020179,           0.0048224,           0.0010097,            0.004654,            0.004654,            0.004654
                  29,            0.021628,           0.0055889,           0.0009595,             0.98596,             0.96614,             0.99332,             0.86348,            0.015522,           0.0047554,           0.0010163,            0.004456,            0.004456,            0.004456
                  30,            0.020117,           0.0053873,           0.0010699,             0.97283,             0.98326,             0.99367,             0.84537,            0.017213,           0.0045968,           0.0010846,            0.004258,            0.004258,            0.004258
                  31,            0.022507,           0.0051467,           0.0010449,             0.98946,             0.97856,             0.99365,             0.84199,            0.018606,           0.0044668,            0.001018,             0.00406,             0.00406,             0.00406
                  32,            0.020479,           0.0051042,          0.00095377,             0.99057,             0.97575,             0.99357,              0.8625,            0.016583,           0.0044454,          0.00092306,            0.003862,            0.003862,            0.003862
                  33,            0.016721,           0.0050199,          0.00086843,              0.9947,             0.97393,             0.99364,             0.82132,            0.016384,           0.0042723,          0.00080913,            0.003664,            0.003664,            0.003664
                  34,             0.01912,           0.0046956,          0.00079157,              0.9871,             0.97388,             0.99338,             0.88398,            0.014821,           0.0042063,          0.00084713,            0.003466,            0.003466,            0.003466
                  35,            0.018852,           0.0047149,          0.00090567,             0.97817,             0.98328,             0.99375,             0.87207,            0.014017,           0.0041919,          0.00096247,            0.003268,            0.003268,            0.003268
                  36,            0.018126,           0.0049293,           0.0009582,             0.97504,             0.98784,             0.99352,             0.89058,             0.01538,           0.0041725,          0.00094248,             0.00307,             0.00307,             0.00307
                  37,            0.015084,           0.0046298,          0.00095918,             0.98226,             0.98328,              0.9936,             0.89558,            0.010895,           0.0040577,          0.00086236,            0.002872,            0.002872,            0.002872
                  38,            0.014087,           0.0042694,          0.00074235,              0.9854,             0.97393,              0.9937,             0.88244,            0.011775,           0.0040143,          0.00073426,            0.002674,            0.002674,            0.002674
                  39,            0.013885,            0.004429,          0.00067006,             0.98608,             0.97768,             0.99407,             0.89594,            0.012351,           0.0038923,           0.0006417,            0.002476,            0.002476,            0.002476
                  40,            0.014037,           0.0044266,           0.0006252,             0.98444,             0.98325,             0.99418,             0.90088,            0.010451,           0.0037708,          0.00063109,            0.002278,            0.002278,            0.002278
                  41,            0.014172,            0.004336,          0.00058412,              0.9848,             0.98321,             0.99395,              0.9123,             0.01152,           0.0037711,          0.00061612,             0.00208,             0.00208,             0.00208
                  42,            0.013477,           0.0041298,          0.00059698,             0.98364,             0.98321,               0.994,             0.90361,            0.010231,           0.0037009,          0.00061007,            0.001882,            0.001882,            0.001882
                  43,            0.011467,           0.0039856,          0.00056898,             0.98231,             0.98789,             0.99429,             0.91646,            0.010039,           0.0036017,          0.00057802,            0.001684,            0.001684,            0.001684
                  44,             0.01108,           0.0041503,          0.00055468,             0.98636,             0.99218,             0.99434,             0.91522,           0.0094938,           0.0035853,          0.00053657,            0.001486,            0.001486,            0.001486
                  45,            0.010589,           0.0040501,          0.00051144,             0.98954,             0.97861,             0.99413,              0.9298,           0.0088492,           0.0035204,          0.00049498,            0.001288,            0.001288,            0.001288
                  46,            0.010992,           0.0041932,          0.00046197,              0.9831,             0.98328,             0.99414,             0.92469,           0.0094307,           0.0034999,          0.00046008,             0.00109,             0.00109,             0.00109
                  47,            0.010293,           0.0037367,          0.00041528,             0.98027,             0.98796,             0.99401,             0.92457,           0.0085644,           0.0034644,          0.00042222,            0.000892,            0.000892,            0.000892
                  48,             0.01034,           0.0037703,          0.00041541,             0.98039,             0.98795,               0.994,             0.92445,           0.0083601,           0.0034411,          0.00040014,            0.000694,            0.000694,            0.000694
                  49,           0.0098517,           0.0038044,          0.00039883,             0.98023,             0.98795,             0.99395,             0.93134,           0.0082165,           0.0034243,          0.00038175,            0.000496,            0.000496,            0.000496
